Site,Date,Night,Time,DateTimeOriginal,SpeciesID
CTB-0713,2016-08-01,2016-08-01,23:57:19,2016-08-01 23:57,35K
CTB-0713,2016-08-01,2016-08-01,23:57:45,2016-08-01 23:57,35K
CTB-0713,2016-08-01,2016-08-01,23:58:07,2016-08-01 23:58,35K
CTB-0713,2016-08-01,2016-08-01,23:58:20,2016-08-01 23:58,35K
CTB-0713,2016-08-01,2016-08-01,23:58:40,2016-08-01 23:58,35K
CTB-0713,2016-08-01,2016-08-01,23:59:04,2016-08-01 23:59,35K
CTB-0713,2016-08-01,2016-08-01,23:59:22,2016-08-01 23:59,35K
CTB-0713,2016-08-01,2016-08-01,23:59:38,2016-08-01 23:59,35K
CTB-0713,2016-08-02,2016-08-01,1:25:23,2016-08-02 1:25,40K
CTB-0713,2016-08-02,2016-08-01,1:26:02,2016-08-02 1:26,40K
CTB-0713,2016-08-02,2016-08-01,1:26:15,2016-08-02 1:26,40K
CTB-0713,2016-08-02,2016-08-01,1:26:25,2016-08-02 1:26,40K
CTB-0713,2016-08-02,2016-08-01,1:26:35,2016-08-02 1:26,40K
CTB-0713,2016-08-02,2016-08-01,1:26:53,2016-08-02 1:26,40K
CTB-0713,2016-08-02,2016-08-01,1:27:17,2016-08-02 1:27,40K
CTB-0713,2016-08-02,2016-08-01,1:27:38,2016-08-02 1:27,40K
CTB-0713,2016-08-02,2016-08-01,1:28:22,2016-08-02 1:28,40K
CTB-0713,2016-08-02,2016-08-01,1:28:41,2016-08-02 1:28,40K
CTB-0713,2016-08-02,2016-08-01,1:29:05,2016-08-02 1:29,40K
CTB-0713,2016-08-02,2016-08-01,1:43:24,2016-08-02 1:43,30K
CTB-0713,2016-08-02,2016-08-01,1:49:28,2016-08-02 1:49,35K
CTB-0713,2016-08-02,2016-08-01,1:51:54,2016-08-02 1:51,NOISE
CTB-0713,2016-08-02,2016-08-01,1:56:15,2016-08-02 1:56,35K
CTB-0713,2016-08-02,2016-08-01,2:56:29,2016-08-02 2:56,35K
CTB-0713,2016-08-02,2016-08-01,2:56:36,2016-08-02 2:56,35K
CTB-0713,2016-08-02,2016-08-01,2:58:41,2016-08-02 2:58,35K
CTB-0713,2016-08-02,2016-08-01,2:58:56,2016-08-02 2:58,40K
CTB-0713,2016-08-02,2016-08-01,2:59:02,2016-08-02 2:59,40K
CTB-0713,2016-08-02,2016-08-01,2:59:18,2016-08-02 2:59,35K
CTB-0713,2016-08-02,2016-08-01,3:01:01,2016-08-02 3:01,35K
CTB-0713,2016-08-02,2016-08-01,3:02:29,2016-08-02 3:02,40K
CTB-0713,2016-08-02,2016-08-01,3:07:14,2016-08-02 3:07,40K
CTB-0713,2016-08-02,2016-08-01,3:07:23,2016-08-02 3:07,40K
CTB-0713,2016-08-02,2016-08-01,3:07:32,2016-08-02 3:07,35K
CTB-0713,2016-08-02,2016-08-01,3:07:46,2016-08-02 3:07,35K
CTB-0713,2016-08-02,2016-08-01,3:07:58,2016-08-02 3:07,35K
FCB-0512,2016-05-12,2016-05-12,21:07:21,2016-05-12 21:07,NOISE
FCB-0512,2016-05-13,2016-05-12,1:14:56,2016-05-13 1:14,NOISE
FCB-0512,2016-05-14,2016-05-13,0:04:36,2016-05-14 0:04,NOISE
FCB-0512,2016-05-14,2016-05-13,1:09:24,2016-05-14 1:09,NOISE
FCB-0512,2016-05-14,2016-05-13,1:17:40,2016-05-14 1:17,NOISE
FCB-0512,2016-06-07,2016-06-07,23:58:08,2016-06-07 23:58,20K
FCB-0512,2016-06-07,2016-06-07,23:58:08,2016-06-07 23:58,MYLU
FCB-0512,2016-05-31,2016-05-31,21:47:52,2016-05-31 21:47,40K
FCB-0512,2016-06-03,2016-06-02,0:14:50,2016-06-03 0:14,EPFULANO
FCB-0512,2016-06-03,2016-06-02,0:14:50,2016-06-03 0:14,40K
FCB-0512,2016-06-03,2016-06-02,0:14:41,2016-06-03 0:14,EPFULANO
FCB-0512,2016-06-03,2016-06-02,0:14:41,2016-06-03 0:14,35K
FCB-0512,2016-05-31,2016-05-31,21:53:02,2016-05-31 21:53,40K
FCB-0512,2016-06-01,2016-05-31,0:40:26,2016-06-01 0:40,40K
FCB-0512,2016-05-12,2016-05-12,21:12:35,2016-05-12 21:12,35K
FCB-0512,2016-05-12,2016-05-12,21:57:30,2016-05-12 21:57,LANO
FCB-0512,2016-05-12,2016-05-12,22:01:09,2016-05-12 22:01,LANO
FCB-0512,2016-05-12,2016-05-12,22:11:01,2016-05-12 22:11,LANO
FCB-0512,2016-05-12,2016-05-12,22:15:21,2016-05-12 22:15,EPFULANO
FCB-0512,2016-05-12,2016-05-12,22:17:17,2016-05-12 22:17,EPFULANO
FCB-0512,2016-05-12,2016-05-12,22:24:26,2016-05-12 22:24,25K
FCB-0512,2016-05-12,2016-05-12,22:32:19,2016-05-12 22:32,EPFULANO
FCB-0512,2016-05-12,2016-05-12,22:43:36,2016-05-12 22:43,LANO
FCB-0512,2016-05-12,2016-05-12,23:12:20,2016-05-12 23:12,LANO
