Site,basin,file_zc,Date,Night,Time,DateTimeOriginal,Type,DR,Y,M,D,H,M,S,uS,Datum,Lat,Long,Zon,Easting,Northing,Elev,Sp_final,season,Species,Note,ID
CTB-0713,CTB,PBM-CTB-713A_0_20160714_000629_000.zc,2016-07-14,2016-07-13,0:06:29,2016-07-14 0:06,132,8,2016,7,14,0,6,29,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_000653_000.zc,2016-07-14,2016-07-13,0:06:53,2016-07-14 0:06,132,8,2016,7,14,0,6,53,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,"35K,fMYLU","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_000715_000.zc,2016-07-14,2016-07-13,0:07:15,2016-07-14 0:07,132,8,2016,7,14,0,7,15,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,"35K,fMYLU","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_015756_000.zc,2016-07-14,2016-07-13,1:57:56,2016-07-14 1:57,132,8,2016,7,14,1,57,56,0,NAD83,NA,NA,10U,5452778,604011,1251,NOISE,2,noise,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_030419_000.zc,2016-07-14,2016-07-13,3:04:19,2016-07-14 3:04,132,8,2016,7,14,3,4,19,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_030426_000.zc,2016-07-14,2016-07-13,3:04:26,2016-07-14 3:04,132,8,2016,7,14,3,4,26,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_213243_000.zc,2016-07-14,2016-07-14,21:32:43,2016-07-14 21:32,132,8,2016,7,14,21,32,43,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,"35K,fMYLU","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_213258_000.zc,2016-07-14,2016-07-14,21:32:58,2016-07-14 21:32,132,8,2016,7,14,21,32,58,0,NAD83,NA,NA,10U,5452778,604011,1251,NOISE,2,noise,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_213309_000.zc,2016-07-14,2016-07-14,21:33:09,2016-07-14 21:33,132,8,2016,7,14,21,33,9,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_220545_000.zc,2016-07-14,2016-07-14,22:05:45,2016-07-14 22:05,132,8,2016,7,14,22,5,45,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160715_012030_000.zc,2016-07-15,2016-07-14,1:20:30,2016-07-15 1:20,132,8,2016,7,15,1,20,30,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160715_034325_000.zc,2016-07-15,2016-07-14,3:43:25,2016-07-15 3:43,132,8,2016,7,15,3,43,25,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160715_232258_000.zc,2016-07-15,2016-07-15,23:22:58,2016-07-15 23:22,132,8,2016,7,15,23,22,58,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160715_232335_000.zc,2016-07-15,2016-07-15,23:23:35,2016-07-15 23:23,132,8,2016,7,15,23,23,35,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160715_232410_000.zc,2016-07-15,2016-07-15,23:24:10,2016-07-15 23:24,132,8,2016,7,15,23,24,10,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,"35K,fMYLU","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160716_003824_000.zc,2016-07-16,2016-07-15,0:38:24,2016-07-16 0:38,132,8,2016,7,16,0,38,24,0,NAD83,NA,NA,10U,5452778,604011,1251,NOISE,2,noise,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
